COD_MUN,Ano,Valor,Indicador,GeoType
354910,2017,"1,57",Consultas,Municipio
354920,2017,"6,68",Consultas,Municipio
354925,2017,"1,51",Consultas,Municipio
354930,2017,"3,19",Consultas,Municipio
354940,2017,"2,08",Consultas,Municipio
354950,2017,"14,5",Consultas,Municipio
354960,2017,"3,28",Consultas,Municipio
354970,2017,"1,08",Consultas,Municipio
354980,2017,"1,17",Consultas,Municipio
354990,2017,"0,61",Consultas,Municipio
354995,2017,"4,71",Consultas,Municipio
355000,2017,"0,3",Consultas,Municipio
355010,2017,"1,07",Consultas,Municipio
355020,2017,"1,02",Consultas,Municipio
355030,2017,"1,23",Consultas,Municipio
355040,2017,"0,91",Consultas,Municipio
355050,2017,"3,47",Consultas,Municipio
355060,2017,"0,41",Consultas,Municipio
355070,2017,"0,25",Consultas,Municipio
355080,2017,"2,4",Consultas,Municipio
355090,2017,"3,79",Consultas,Municipio
355100,2017,"0,64",Consultas,Municipio
355110,2017,"3,23",Consultas,Municipio
355120,2017,"1,94",Consultas,Municipio
355130,2017,"2,39",Consultas,Municipio
355140,2017,"3,46",Consultas,Municipio
355160,2017,"1,09",Consultas,Municipio
355150,2017,"0,5",Consultas,Municipio
355170,2017,"1,49",Consultas,Municipio
355180,2017,"2,56",Consultas,Municipio
355190,2017,"1,14",Consultas,Municipio
355200,2017,"1,07",Consultas,Municipio
355210,2017,"8,18",Consultas,Municipio
355220,2017,"0,74",Consultas,Municipio
355230,2017,"3,06",Consultas,Municipio
355240,2017,"0,55",Consultas,Municipio
355255,2017,"1,47",Consultas,Municipio
355250,2017,"0,68",Consultas,Municipio
355260,2017,"2,84",Consultas,Municipio
355270,2017,"0,95",Consultas,Municipio
355280,2017,"0,75",Consultas,Municipio
355290,2017,"1,9",Consultas,Municipio
355300,2017,"2,04",Consultas,Municipio
355310,2017,"2,87",Consultas,Municipio
355320,2017,"2,67",Consultas,Municipio
355330,2017,"2,96",Consultas,Municipio
355340,2017,"1,6",Consultas,Municipio
355350,2017,"1,4",Consultas,Municipio
355360,2017,"1,31",Consultas,Municipio
355365,2017,"2,6",Consultas,Municipio
355370,2017,"0,96",Consultas,Municipio
355380,2017,"1,43",Consultas,Municipio
355385,2017,"1,28",Consultas,Municipio
355390,2017,"1,91",Consultas,Municipio
355395,2017,"2,94",Consultas,Municipio
355400,2017,"1,38",Consultas,Municipio
355410,2017,"0,94",Consultas,Municipio
355420,2017,"1,77",Consultas,Municipio
355430,2017,"1,92",Consultas,Municipio
355440,2017,"1,26",Consultas,Municipio
355450,2017,"0,45",Consultas,Municipio
355460,2017,"2,03",Consultas,Municipio
355465,2017,"0,01",Consultas,Municipio
355470,2017,"2,19",Consultas,Municipio
355475,2017,"1,85",Consultas,Municipio
355480,2017,"0,7",Consultas,Municipio
355490,2017,"8,9",Consultas,Municipio
355495,2017,"1,21",Consultas,Municipio
355500,2017,"1,31",Consultas,Municipio
355510,2017,"3,65",Consultas,Municipio
355520,2017,"5,07",Consultas,Municipio
355530,2017,"2,01",Consultas,Municipio
355535,2017,"3,09",Consultas,Municipio
355540,2017,"0,05",Consultas,Municipio
355550,2017,"3,6",Consultas,Municipio
355560,2017,"4,56",Consultas,Municipio
355570,2017,"3,75",Consultas,Municipio
355580,2017,"21,88",Consultas,Municipio
355590,2017,"3,23",Consultas,Municipio
355600,2017,"11,08",Consultas,Municipio
355610,2017,"2,65",Consultas,Municipio
355620,2017,"0,56",Consultas,Municipio
355630,2017,"0,86",Consultas,Municipio
355635,2017,"3,19",Consultas,Municipio
355640,2017,"2,15",Consultas,Municipio
355645,2017,"0,52",Consultas,Municipio
355650,2017,"0,91",Consultas,Municipio
355660,2017,"1,74",Consultas,Municipio
355670,2017,"0,78",Consultas,Municipio
355680,2017,"1,53",Consultas,Municipio
355690,2017,"1,82",Consultas,Municipio
355695,2017,"5,43",Consultas,Municipio
355700,2017,"1,26",Consultas,Municipio
355710,2017,"1,93",Consultas,Municipio
355715,2017,"5,31",Consultas,Municipio
